role,name,team
student,SweetPotato0213,CS2103-F09-1
student,YH-15,CS2103-F09-1
student,PokezardVGC,CS2103-F09-1
student,eugenelmj,CS2103-F09-1
student,RussellDash332,CS2103-F09-1
student,JordanChua,CS2103-F09-1
student,lfrostbytee,CS2103-F09-2
student,Vinodjayakumar124,CS2103-F09-2
student,Qiaoran-M,CS2103-F09-2
student,tanhl2000,CS2103-F09-2
student,Benjamin-Sim,CS2103-F09-2
student,Yongbeom-Kim,CS2103-F13-1
student,Donovan9617,CS2103-F13-1
student,ConradLew,CS2103-F13-1
student,crvstalphua,CS2103-F13-1
student,Aishwarya-Hariharan-Iyer,CS2103-F13-1
student,ryanlml,CS2103-F13-2
student,deepimpactmir,CS2103-F13-2
student,NUSDG,CS2103-F13-2
student,castryl,CS2103-F13-2
student,KeithPJX,CS2103-F13-2
student,mqchua,CS2103-F13-3
student,HakkaNgin,CS2103-F13-3
student,GenFusion122,CS2103-F13-3
student,darrentde,CS2103-F13-3
student,tinenhao,CS2103-F13-3
student,LolfoollorS,CS2103-F13-4
student,xhphoong,CS2103-F13-4
student,yeehaoo,CS2103-F13-4
student,mlzt2000,CS2103-F13-4
student,johnbenedictyan,CS2103-F13-4
student,huzaifa1712,CS2103-F14-1
student,SeekSaveServe,CS2103-F14-1
student,shenyih0ng,CS2103-F14-1
student,zupey,CS2103-F14-1
student,sarrrdin,CS2103-F14-1
student,JasonCP14,CS2103-F14-2
student,cliftonfelix,CS2103-F14-2
student,maryjess,CS2103-F14-2
student,lulucopter,CS2103-F14-2
student,deeyonn,CS2103-F14-2
student,jhchee18,CS2103-F14-3
student,eesung00,CS2103-F14-3
student,nmtuan2001,CS2103-F14-3
student,teekaytai,CS2103-F14-3
student,jolynloh,CS2103-F14-3
student,kynapy,CS2103-F14-4
student,TYKCodes,CS2103-F14-4
student,Edfernape,CS2103-F14-4
student,parth-io,CS2103-F14-4
student,sprintaway,CS2103-F14-4
student,Frrramses,CS2103-W14-1
student,lkwlkww,CS2103-W14-1
student,zacchaeuschok,CS2103-W14-1
student,misterpuffin,CS2103-W14-1
student,yuehernkang,CS2103-W14-1
student,clarence-chew,CS2103-W14-2
student,LikHern,CS2103-W14-2
student,Hikoya,CS2103-W14-2
student,MinHeinA,CS2103-W14-2
student,jamietan2002,CS2103-W14-2
student,ish1506,CS2103T-F11-1
student,nqt230,CS2103T-F11-1
student,chengda300,CS2103T-F11-1
student,LiuFangrui,CS2103T-F11-1
student,tanxuanyun,CS2103T-F11-1
student,dlimyy,CS2103T-F11-2
student,Sampy147,CS2103T-F11-2
student,RachelChua,CS2103T-F11-2
student,phualiting,CS2103T-F11-2
student,tlx02,CS2103T-F11-2
student,alexandermula,CS2103T-F11-3
student,YZTangent,CS2103T-F11-3
student,leecaregene,CS2103T-F11-3
student,shaniceng,CS2103T-F11-3
student,jovitaanderson,CS2103T-F11-3
student,ryanguai,CS2103T-F11-4
student,alvintfl,CS2103T-F11-4
student,nickeltea,CS2103T-F11-4
student,junwei-tan,CS2103T-F11-4
student,feliciagan,CS2103T-F11-4
student,chngchngchng,CS2103T-F12-1
student,zsiggg,CS2103T-F12-1
student,riccqi,CS2103T-F12-1
student,ChryslineLim,CS2103T-F12-1
student,jchilling,CS2103T-F12-1
student,Kennethsim2000,CS2103T-F12-2
student,paotheroo,CS2103T-F12-2
student,ALWHgithub,CS2103T-F12-2
student,yusiangeng,CS2103T-F12-2
student,albertarielw,CS2103T-F12-2
student,XenonShawn,CS2103T-F12-3
student,snigloo,CS2103T-F12-3
student,doimoiboi,CS2103T-F12-3
student,yiyefyy,CS2103T-F12-3
student,lleyi0606,CS2103T-F12-3
student,tantzeyeong,CS2103T-F12-4
student,ongwenpin,CS2103T-F12-4
student,nopehax,CS2103T-F12-4
student,totsukatomofumi,CS2103T-F12-4
student,asaierika,CS2103T-F12-4
student,e1010101,CS2103T-T08-1
